hyperedge_id,concept_id
0,30234
0,80502
0,134736
0,192450
0,194133
0,319835
0,433990
0,435510
0,435783
0,436665
0,437469
0,437827
0,439082
0,439502
0,444382
0,700325
0,700493
0,704944
0,712619
0,715236
0,723042
0,725178
0,739209
0,741572
0,742304
0,743752
0,744800
0,751249
0,778478
0,778740
0,797632
0,798877
0,904547
0,905236
0,928111
0,929889
0,932197
0,937798
0,964369
0,967427
0,967435
0,984848
0,1115129
0,1118088
0,1125392
0,1129105
0,1134770
0,1150924
0,1314008
0,1314009
0,1328689
0,1341268
0,1347386
0,1363058
0,1501429
0,1506606
0,1518261
0,1539406
0,1539407
0,1539411
0,1539463
0,1545999
0,1589509
0,1594701
0,1594704
0,1594975
0,1701957
0,1703743
0,1710316
0,1717708
0,1754995
0,1758395
0,2001496
0,2002291
0,2005195
0,2006226
0,2006228
0,2006352
0,2101823
0,2212542
0,2212648
0,2212731
0,2314297
0,4148842
0,4253223
0,4261206
0,19003394
0,19018875
0,19019073
0,19019074
0,19019113
0,19019115
0,19019116
0,19019273
0,19019309
0,19019331
0,19019418
0,19019588
0,19022486
0,19023551
0,19023636
0,19025338
0,19025488
0,19027666
0,19029027
0,19029030
0,19031629
0,19040307
0,19043705
0,19057122
0,19071493
0,19072933
0,19073093
0,19073712
0,19073873
0,19075308
0,19077083
0,19077463
0,19077547
0,19077638
0,19077653
0,19077684
0,19078106
0,19078166
0,19078461
0,19078859
0,19078924
0,19079465
0,19080040
0,19095092
0,19095325
0,19096752
0,19100691
0,19102549
0,19112671
0,19123143
0,19123169
0,19123592
0,19127575
0,19128968
0,19129077
0,19133570
0,19133768
0,19133853
0,19134047
0,35604576
0,40161974
0,40162472
0,40162512
0,40162570
0,40162672
0,40162717
0,40162864
0,40162878
0,40163070
0,40163209
0,40163342
0,40163460
0,40164897
0,40164929
0,40165343
0,40165762
0,40165790
0,40165973
0,40165994
0,40167213
0,40168699
0,40169100
0,40169689
0,40169770
0,40169962
0,40172500
0,40173824
0,40174785
0,40174907
0,40175210
0,40175281
0,40176744
0,40182097
0,40221898
0,40221996
0,40223110
0,40224875
0,40224885
0,40224897
0,40226607
0,40226845
0,40226964
0,40231925
0,40236190
0,40236419
0,40236851
0,40240036
0,40479553
0,40481022
0,42707418
0,42799119
0,42801187
0,42873673
0,44784878
1,27674
1,30978
1,31967
1,73553
1,73562
1,74132
1,74892
1,75004
1,75617
1,75860
1,77025
1,77638
